rentree_scolaire;uai;secteur;ips;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0622424Y;public;75.9;50.45108347226466,2.7378298991850905;Collège Langevin-Wallon;Lille;062;Pas-de-Calais;62386;Grenay
2023-2024;0622576N;public;66.4;50.94828933426335,1.8331704068499097;Collège Vauban;Lille;062;Pas-de-Calais;62193;Calais
2023-2024;0623322Z;public;92.4;50.42905572095348,2.9941200896855036;Collège Anne Frank;Lille;062;Pas-de-Calais;62274;Dourges
2023-2024;0594394F;public;80.2;50.718868994902444,3.1545501387874855;Collège Marie Curie;Lille;059;Nord;59599;Tourcoing
2023-2024;0622109F;privé sous contrat;109.8;50.94370747228479,1.8527994308888607;Collège privé Jeanne d'Arc;Lille;062;Pas-de-Calais;62193;Calais
2023-2024;0622262X;public;82.4;50.41020311287875,2.877100390185131;Collège Henri Wallon;Lille;062;Pas-de-Calais;62570;Méricourt
2023-2024;0623569T;privé sous contrat;129.8;50.533703979174014,2.641879712339206;Collège privé Saint Vaast-Saint Dominique;Lille;062;Pas-de-Calais;62119;Béthune
2023-2024;0620154F;public;89.1;50.70255080268576,1.5914034040436627;Collège Albert Camus;Lille;062;Pas-de-Calais;62643;Outreau
2023-2024;0622112J;privé sous contrat;105.0;50.516021687633,2.1370106629363272;Collège privé Saint Bertulphe;Lille;062;Pas-de-Calais;62364;Fruges
2023-2024;0595656C;public;111.2;50.639299202164814,3.1589495398639804;Collège Camille Claudel;Lille;059;Nord;59009;Villeneuve-d'Ascq
2023-2024;0593476H;public;111.4;50.59610598148052,3.0720398652486036;Collège Jean Mermoz;Lille;059;Nord;59220;Faches-Thumesnil
2023-2024;0594287P;public;112.5;50.65706606446519,3.0948799749375424;Collège Rouges Barres;Lille;059;Nord;59378;Marcq-en-Baroeul
2023-2024;0595402B;privé sous contrat;126.3;50.37595904877808,3.553120400680678;Collège privé Notre-Dame;Lille;059;Nord;59544;Saint-Saulve
2023-2024;0590131X;public;76.0;50.64124280357082,3.011501851353845;Collège Jean Jaurès;Lille;059;Nord;59350;Lille
2023-2024;0594386X;public;104.5;50.61483502539845,2.976610619776166;Collège Le Parc;Lille;059;Nord;59286;Haubourdin
2023-2024;0594412A;public;82.0;50.46468284594241,3.566440487065162;Collège Jean Jaurès;Lille;059;Nord;59616;Vieux-Condé
2023-2024;0595190W;public;75.6;50.40191279499383,3.124549464711073;Collège Gayant;Lille;059;Nord;59178;Douai
2023-2024;0623023Z;public;92.7;50.66775545426103,1.8275193451698724;Collège du Caraquet;Lille;062;Pas-de-Calais;62268;Desvres
2023-2024;0593217B;privé sous contrat;99.6;50.72016588541881,3.151410525301725;Collège privé Charles Péguy;Lille;059;Nord;59599;Tourcoing
2023-2024;0595166V;public;124.8;50.54306193496924,2.9760594502681053;Collège Hergé;Lille;059;Nord;59266;Gondecourt
2023-2024;0595176F;public;87.7;50.11845078112309,3.9406493271130003;Collège Renaud-Barrault;Lille;059;Nord;59035;Avesnelles
2023-2024;0620016F;public;109.3;50.35013583771473,2.5886699332955727;Collège Jean Monnet;Lille;062;Pas-de-Calais;62045;Aubigny-en-Artois
2023-2024;0590151U;public;87.9;50.27794947812394,3.971009768841562;Collège Ernest Coutelle;Lille;059;Nord;59392;Maubeuge
2023-2024;0590183D;public;67.4;50.693177620016684,3.164919554423088;Collège Madame de Sévigné;Lille;059;Nord;59512;Roubaix
2023-2024;0593132J;privé sous contrat;97.1;50.295646416314426,4.103789326111633;Collège privé Sainte Bernadette;Lille;059;Nord;59324;Jeumont
2023-2024;0620130E;public;93.4;50.20925634002819,3.0846299930795484;Collège des Marches de l'Artois;Lille;062;Pas-de-Calais;62559;Marquion
2023-2024;0593149C;privé sous contrat;97.1;50.72559677272824,3.1338694302671253;Collège privé Charles de Foucauld;Lille;059;Nord;59599;Tourcoing
2023-2024;0594418G;public;74.3;50.3030779347669,4.090250109750892;Collège Charles de Gaulle;Lille;059;Nord;59324;Jeumont
2023-2024;0594881K;public;86.5;50.63901029289493,3.084840391287406;Collège Martha Desrumaux;Lille;059;Nord;59350;Lille
2023-2024;0622087G;public;80.6;50.46164187069234,2.7194599930897345;Collège Blaise Pascal;Lille;062;Pas-de-Calais;62563;Mazingarbe
2023-2024;0623919Y;public;86.3;50.4968304789591,2.9759097447360388;Collège Léonard de Vinci;Lille;062;Pas-de-Calais;62215;Carvin
2023-2024;0590030M;public;99.1;51.07081620306653,2.5132403618887618;Collège du Septentrion;Lille;059;Nord;59107;Bray-Dunes
2023-2024;0593235W;public;90.9;50.63057676788112,3.0941300893778436;Collège Boris Vian;Lille;059;Nord;59350;Lille
2023-2024;0596988A;public;104.8;50.69509445056544,2.851530298837395;Collège Jeanne de Constantinople;Lille;059;Nord;59431;Nieppe
2023-2024;0593678C;public;88.2;50.37400098091182,3.3984184071598618;Collège Jean Moulin;Lille;059;Nord;59632;Wallers
2023-2024;0593686L;public;71.6;50.26333776604779,3.9650896805773166;Collège Jacques Brel;Lille;059;Nord;59365;Louvroil
2023-2024;0594401N;public;100.1;50.28398626566773,3.0993299444221893;Collège Val de La Sensée;Lille;059;Nord;59015;Arleux
2023-2024;0594295Y;public;82.6;51.02609343403172,2.3948734187132454;Collège du Westhoek;Lille;059;Nord;59155;Coudekerque-Branche
2023-2024;0593177H;public;85.3;50.64774962781398,2.9855001431691313;Collège Jean Zay;Lille;059;Nord;59350;Lille
2023-2024;0594402P;public;73.5;50.38556769775681,3.0743805506245514;Collège André Canivez;Lille;059;Nord;59178;Douai
2023-2024;0595757M;public;92.1;50.6429942905723,2.7055896378076194;Collège Henri Durez;Lille;059;Nord;59212;Estaires
2023-2024;0593239A;public;97.5;50.68344141187111,3.14996066957436;Collège Boris Vian;Lille;059;Nord;59163;Croix
2023-2024;0593680E;public;66.3;50.355747136749194,3.5038220362532377;Collège Joséphine Baker;Lille;059;Nord;59606;Valenciennes
2023-2024;0596172N;public;99.9;50.738450204911544,3.0866603103037034;Collège Henri Matisse;Lille;059;Nord;59352;Linselles
2023-2024;0620097U;public;92.6;50.44641614050594,2.6433404163683143;Collège Romain Rolland;Lille;062;Pas-de-Calais;62443;Hersin-Coupigny
2023-2024;0620197C;public;92.1;50.43669738917831,2.724259575121028;Collège Anita Conti;Lille;062;Pas-de-Calais;62186;Bully-les-Mines
2023-2024;0594304H;public;89.1;50.45062444729204,3.432100353409098;Collège Marie Curie;Lille;059;Nord;59526;Saint-Amand-les-Eaux
2023-2024;0620099W;public;86.0;50.37018206962238,2.0392502614145864;Collège des 7 Vallées;Lille;062;Pas-de-Calais;62447;Hesdin
2023-2024;0595385H;privé sous contrat;142.1;50.71990834421268,3.109499868205024;Collège privé La Croix Blanche;Lille;059;Nord;59090;Bondues
2023-2024;0622129C;privé sous contrat;123.7;50.52884968324221,2.6433533633627184;Collège privé Sainte-Famille;Lille;062;Pas-de-Calais;62119;Béthune
2023-2024;0590224Y;public;104.3;50.36055942062598,3.518971221639622;Collège Jean-Baptiste Carpeaux;Lille;059;Nord;59606;Valenciennes
2023-2024;0593674Y;public;87.4;50.343291800603275,3.5552895760918646;Collège Alphonse Terroir;Lille;059;Nord;59383;Marly
2023-2024;0622422W;public;85.7;50.40449324585825,2.825990625524639;Collège Jean-Jacques Rousseau;Lille;062;Pas-de-Calais;62065;Avion
2023-2024;0592895B;privé sous contrat;131.0;50.73996706399982,3.0778406675862393;Collège privé Sainte Marie;Lille;059;Nord;59352;Linselles
2023-2024;0594636U;public;101.2;50.74278770807799,2.736630496038372;Collège Maxime Deyts;Lille;059;Nord;59043;Bailleul
2023-2024;0595175E;public;99.7;50.1757149656532,3.2289302757058485;Collège Fénelon;Lille;059;Nord;59122;Cambrai
2023-2024;0595302T;privé sous contrat;92.0;50.684564996260974,3.167460562765493;Collège privé Saint-Exupéry;Lille;059;Nord;59512;Roubaix
2023-2024;0622140P;privé sous contrat;121.6;50.6276120072444,2.772460279758551;Collège privé Sainte Jeanne d'Arc;Lille;062;Pas-de-Calais;62491;Laventie
2023-2024;0592955S;privé sous contrat;113.5;50.94529542015906,2.194851615851072;Collège privé Notre-Dame;Lille;059;Nord;59094;Bourbourg
2023-2024;0590248Z;public;91.0;50.3498386310885,3.2842295962456927;Collège Louis Pasteur;Lille;059;Nord;59574;Somain
2023-2024;0593131H;privé sous contrat;103.6;50.62928989778109,3.107342498302463;Collège privé Saint Joseph;Lille;059;Nord;59350;Lille
